Nome,ticker,valor,resumo_final,tag1,tag2,tag3,tag4,tag5
BRF,brfs3,https://www.brf-global.com,"BRF is one of the largest food companies globally, with nearly 100,000 employees and operations in over 127 countries. Originating in Brazil, it produces a wide range of high-value food products focusing on protein-based fresh and frozen foods. BRF owns renowned brands such as Sadia, Perdigão, and Qualy. The company operates an integrated supply chain from production to distribution, including poultry and swine farming, processing, and sales. It emphasizes quality, safety, and sustainability, maintaining advanced laboratories for animal health and food quality. BRF also offers innovative ingredient solutions through BRF Ingredients, pet food products via BRF Pet, and has a robust logistics network with multiple production units and distribution centers worldwide. Its main services and product categories include processed meats, poultry, pork, ready meals, frozen products, margarine, pet food, and food service solutions. BRF is committed to ethical business practices, transparency, consumer satisfaction, innovation, sustainability, and social responsibility throughout its operations.",['Consumer Staples'],['Food and Beverage Products'],"['Meat and poultry products', 'Prepared and preserved foods']","['Processed meat and poultry products', 'Organic processed meat and poultry products', 'Non gmo processed meat and poultry products']","['Chicken, processed with additions', 'Pork, processed with additions', 'Turkey, processed with additions', 'Specialty poultry, processed with additions', 'Mixed species meat, processed with additions']"
B3,b3sa3,https://www.b3.com.br,"B3 is a Brazilian company that operates as one of the main stock exchanges in Latin America, providing services related to trading, clearing, and settlement of financial assets. Their main offerings include equity trading, derivatives trading, fixed income, and other financial market infrastructure services, supporting a wide range of financial products and market participants.",['Financials'],"['Financial Instruments, Products, Contracts and Agreements', 'Financial and Insurance Services']","['Securities', 'Banking and investment']","['Equity based securities', 'Derivative securities', 'Securities and commodities markets services']","['Stock market trading services', 'Commodities or futures market services']"
Cogna,cogn3,https://www.cogna.com.br,"Cogna Educação is a leading Brazilian educational organization with over 50 years of history, serving more than 2.6 million students across Brazil through a portfolio of over 70 brands. It provides comprehensive education services ranging from early childhood to lifelong learning, including basic education, language courses, technical and professional education, preparatory courses, undergraduate and graduate programs, and medical education. The company operates through major brands such as Kroton (including Anhanguera for adult education and KrotonMed for medical education), Saber (offering innovative content and solutions for public education), and Somos Educação (providing educational systems, publishers, complementary teaching solutions, and digital platforms). Cogna also offers corporate education benefits, such as scholarships for employees and their dependents. The company is heavily invested in digital transformation, innovation, and the use of artificial intelligence to personalize learning experiences. Cogna serves individuals, companies, and governments with a strong emphasis on education technology and social impact programs.",['Consumer Discretionary'],['Education and Training Services'],"['Vocational training', 'Alternative educational systems', 'Educational institutions', 'Specialized educational services']","['Adult education', 'Education support services', 'Professional schools', 'University and colleges', 'Management education and training services', 'Non scientific vocational training services']","['Part time adult education services', 'Undergraduate programs', 'Postgraduate programs', 'Employee education', 'Technical professional schools']"
Lojas Renner,lren3,https://www.lojasrennersa.com.br,"Lojas Renner S.A. is the largest fashion and lifestyle ecosystem in Brazil, operating through over 680 stores across Brazil, Argentina, and Uruguay, along with robust digital channels. Established in 1965, it comprises multiple brands including Renner (general retail fashion), Camicado (home and decoration), Youcom (youth lifestyle fashion), Ashua (curve and plus size fashion), Realize CFI (financial services), and Repassa (online resale marketplace). The company emphasizes sustainable and responsible fashion, guided by its 2030 sustainability commitments focusing on human relations and diversity, climate solutions, circular economy, and supply chain responsibility. It offers a wide range of products and services including clothing, footwear, accessories, home décor, financial credit and investment services, and an online marketplace facilitating resale and extended product lifecycle. Additionally, it invests heavily in innovation, technology, and social responsibility programs, such as the Instituto Lojas Renner promoting empowerment of women and vulnerable communities. Main product and service categories include fashion and lifestyle retail, home décor, financial solutions, and resale platform services.","['Consumer Discretionary', 'Consumer Staples']","['Apparel and Luggage and Personal Care Products', 'Furniture and Furnishings', 'Education and Training Services']","['Clothing', 'Footwear', 'Decorative adornments']","['Slacks and trousers and shorts', 'Shirts and blouses', 'Dresses and skirts and saris and kimonos', 'Coats and jackets', 'Sweaters', 'Clothing accessories', 'Footwear', 'Athletic wear', 'Nightwear', 'Uniforms']","['Womens slacks or trousers or shorts', 'Womens shirts or blouses', 'Womens dresses or skirts or saris or kimonos', 'Womens athletic wear', 'Womens pajamas or nightshirts or robes', 'Girls slacks or trousers or shorts', 'Girls shirts or blouses', 'Girls dresses or skirts or saris or kimonos', 'Boys slacks or trousers or shorts', 'Boys shirts', 'Mens slacks or trousers or shorts', 'Mens shirts', 'Boys athletic wear', 'Boys pajamas or nightshirts or robes']"
Banco Bradesco,bbdc4,https://www.bradesco.com.br,"Bradesco is a financial services company based in Brazil. It offers a wide range of banking products and services including personal and business banking, loans, insurance, investment products, and digital banking solutions.",['Financials'],['Financial and Insurance Services'],"['Banking and investment', 'Insurance and retirement services']","['Banking institutions', 'Insurance services for structures and property and possessions', 'Investment advice']","['Privately owned banks', 'Homeowners or renters insurance', 'Car or truck insurance', 'Reinsurance services', 'Investment advisers', 'Financial asset management service']"
Petrobras,petr4,https://www.investidorpetrobras.com.br,"Petrobras is a Brazilian multinational corporation and one of the world's largest oil and gas producers. It specializes in exploration and production, especially in deep and ultra-deep offshore waters, refining, energy generation, and marketing. The company aims to operate efficiently with low costs and low carbon emissions, targeting carbon neutrality for activities under its control by 2050. Its main products and services include petroleum exploration, oil and gas production, refining operations, energy generation, and commercial distribution of petroleum products. Additionally, Petrobras engages in social and environmental initiatives aligned with ESG principles, focusing on sustainable development and social responsibility in the communities it operates.",['Energy'],"['Mining and oil and gas services', 'Fuels and Fuel Additives and Lubricants and Anti corrosive Materials']","['Oil and gas exploration services', 'Oil and gas extraction and production enhancement services', 'Oil and gas restoration and reclamation services']","['Other logging services', 'Seismic services', 'Oilfield nitrogen services', 'Well production services']","['Oilfield flare system services', 'Oilfield hot oil or water service', 'Oilfield steaming services', 'General well logging services', 'Nitrogen well services']"
Itaúsa,itsa4,https://www.itausa.com.br,"Itaúsa is the largest publicly traded investment holding company in Brazil. Over its 50-year history, it has built a portfolio of seven leading companies with strong brands that are integral to the daily lives of Brazilians. Itaúsa focuses on investing in sectors that drive Brazil's development, emphasizing long-term value creation, solid governance, ethical conduct, and sustainable business practices. The company acts as a responsible agent of change, fostering sustainable growth and social impact through its investments and the Instituto Itaúsa, which promotes environmental conservation and social equity. Itaúsa's portfolio includes notable companies like Itaú Unibanco, Dexco, Alpargatas, Motiva, Aegea, Copa Energia, and NTS. Its main services involve managing investments in these diverse sectors, with a focus on governance, capital allocation, and promoting sustainability. Itaúsa also prioritizes transparency, investor relations, and ethical management across its operations.",['Financials'],"['Financial Instruments, Products, Contracts and Agreements', 'Financial and Insurance Services']","['Banking and investment', 'Development finance']","['Investment advice', 'Securities and commodities markets services']","['Investment advisers', 'Investment policy', 'Financial asset management service']"
Magazine Luiza,mglu3,https://www.magazineluiza.com.br,"Magazine Luiza is a Brazilian retail company that operates both physical stores and an e-commerce platform. The company offers a wide range of products and services including electronics, furniture, appliances, and various other consumer goods. Additionally, they provide financial services through Luizacred, their credit and loan division. Magazine Luiza also collaborates with business partners and offers solutions for enterprises. Customer service includes managing product returns, exchanges, and handling cancellations or order withdrawals.","['Consumer Discretionary', 'Financials']","['Domestic Appliances and Supplies and Consumer Electronic Products', 'Furniture and Furnishings', 'Financial and Insurance Services']","['Consumer electronics', 'Domestic appliances', 'Accommodation furniture', 'Banking and investment']","['Other domestic household appliances', 'Furniture']","['Furniture set', 'Sofas', 'Chairs', 'Tables', 'Storage cabinets']"
Minerva,beef3,https://www.minervafoods.com,"Minerva Foods is a leading global company specializing in the production and commercialization of beef and related products. It is the largest exporter of beef in South America with approximately 20% market share, operating 46 industrial units across Brazil, Argentina, Colombia, Uruguay, Paraguay, Australia, and Chile. The company offers a broad portfolio including fresh beef cuts under brands like Cabaña las Lilas, Estância 92, and PUL, as well as lamb cuts, industrialized meat products, and byproducts such as biodiesel (Minerva Biodiesel), natural casings (Minerva Casings), leather (Minerva Leather), meat ingredients (Minerva Ingredients), and energy solutions (Minerva Energy). Minerva Foods is committed to sustainability and innovation, implementing programs for carbon-neutral products (Zero Carbon Impact), responsible sourcing, and a traceable supply chain (Programa Renove). It operates with high standards of ethics, governance, and social responsibility and serves customers in over 100 countries worldwide through its distribution centers and international offices.","['Consumer Staples', 'Energy']",['Food and Beverage Products'],['Meat and poultry products'],['Processed meat and poultry products'],"['Beef, processed without additions', 'Lamb or mutton, processed without additions', 'Specialty meat, processed without additions', 'Beef, processed with additions', 'Lamb or mutton, processed with additions']"
RaiaDrogasil,radl3,https://www.rd.com.br,RD Sa,['Consumer Discretionary'],['Furniture and Furnishings'],"['Commercial and industrial furniture', 'Accommodation furniture']","['Office furniture', 'Seating', 'Desking systems', 'Workstations and office packages']","['Desks', 'Office or work chair', 'Guest seating', 'Lounge seating', 'Executive seating']"
Embraer,embr3,https://www.embraer.com.br,"Embraer is a leading global aerospace company with over 55 years of experience. It operates in four main segments: Commercial Aviation, Defense & Security, Executive Jets, and Services & Support. The company designs, manufactures, and supports aircraft, delivering innovative and cost-effective solutions with a strong focus on safety, quality, sustainability, and technology. Embraer serves over 100 countries and more than 60 armed forces worldwide, providing a broad portfolio that includes commercial aircraft, executive jets, defense and security equipment, and comprehensive customer services including maintenance and support. The company is committed to sustainable growth, innovation, and excellence, investing heavily in research and development, pioneering sustainable aviation technologies including electric vertical take-off and landing aircraft (eVTOLs), and implementing advanced manufacturing technologies. Embraer is also dedicated to corporate integrity, environmental responsibility, and social governance, with global operations supported by a workforce of over 23,000 employees.",['Industrials'],"['Manufacturing Components and Supplies', 'Industrial Manufacturing and Processing Machinery and Accessories', 'Engineering and Research and Technology Based Services']","['Manufacturing technologies', 'Industrial process machinery and equipment and supplies', 'Pneumatic and hydraulic and electric control systems', 'Electronic manufacturing machinery and equipment and accessories']","['Manufacturing technology research and development services', 'Robotics', 'Industrial machinery components and accessories']","['Application or technology research and development service', 'Product research and development service']"
