Nome,ticker,valor
BRF,brfs3,https://www.brf-global.com
B3,b3sa3,https://www.b3.com.br
Ambev,abev3,https://www.ambev.com.br
Cogna,cogn3,https://www.cogna.com.br
Banco do Brasil,bbas3,https://www.bb.com.br
Azul,azul4,https://www.voeazul.com.br
Lojas Renner,lren3,https://www.lojasrennersa.com.br
Banco Bradesco,bbdc4,https://www.bradesco.com.br
Petrobras,petr4,https://www.investidorpetrobras.com.br
Banco BTG Pactual,bpac11,https://www.btgpactual.com
Itaúsa,itsa4,https://www.itausa.com.br
Magazine Luiza,mglu3,https://www.magazineluiza.com.br
Minerva,beef3,https://www.minervafoods.com
RaiaDrogasil,radl3,https://www.rd.com.br
Itaú Unibanco,itub4,https://www.itau.com.br
Embraer,embr3,https://www.embraer.com.br
Cosan,csan3,https://www.statusinvest.com.br
Vibra Energia,vbbr3,https://www.vibraenergia.com.br
Raízen,raiz4,https://www.raizen.com.br
Grupo Vamos,vamo3,https://www.grupovamos.com.br
Azevedo & Travassos,azev4,https://www.azevedotravassos.com.br
Braskem,brkm5,https://www.google.com
Vale,vale3,https://www.vale.com
Cemig,cmig4,https://www.cemig.com.br
WEG,wege3,https://www.weg.net
Grupo Pão de Açúcar,pcar3,https://www.gpa.com.br
Rumo,rail3,https://www.rumolog.com
Petrobras,petr3,https://www.investidorpetrobras.com.br
Marcopolo,pomo4,https://www.marcopolo.com.br
Vivo,vivt3,https://www.telefonica.com.br
Cyrela,cyre3,https://www.cyrela.com.br
Motiva,motv3,https://www.ccr.com.br
CVC,cvcb3,https://www.cvccorp.com.br
Usiminas,usim5,https://www.usiminas.com
3R Petroleum,brav3,https://www.3rpetroleum.com.br
Banco Bradesco,bbdc3,https://www.bradesco.com.br
PetroRio,prio3,https://www.prio3.com.br
Localiza,rent3,https://www.localiza.com
Copel,cple6,https://www.copel.com
Equatorial Energia,eqtl3,https://www.equatorialenergia.com.br
AZT Energia,azte3,https://www.statusinvest.com.br
Assaí,asai3,https://www.assai.com.br
Marfrig,mrfg3,https://www.marfrig.com.br
Rede D'Or,rdor3,https://www.rededorsaoluiz.com.br
Eletrobras,elet3,https://www.eletrobras.com
Serena Energia,srna3,https://www.statusinvest.com.br
Gerdau,ggbr4,https://www.gerdau.com
Siderúrgica Nacional,csna3,https://www.csn.com.br
Metalúrgica Gerdau,goau4,https://www.gerdau.com
SLC Agrícola,slce3,https://www.slcagricola.com.br
PetroRecôncavo,recv3,https://www.statusinvest.com.br
Hapvida,hapv3,https://www.hapvida.com.br
Dexco,dxco3,https://www.dex.co
Arezzo,azza3,https://www.arezzoco.com.br
Locaweb,lwsa3,https://www.locaweb.com.br
Oi,oibr3,https://www.oi.com.br
Casas Bahia,bhia3,https://www.grupocasasbahia.com.br
CBA,cbav3,https://www.cba.com.br
MRV,mrve3,https://www.mrv.com.br
TIM,tims3,https://www.tim.com.br
CSN Mineração,cmin3,https://www.csnmineracao.com.br
Eneva,enev3,https://www.eneva.com.br
Cury,cury3,https://www.statusinvest.com.br
